Kabupaten/Kota,Latitude,Longitude
Maluku Tengah,-3.29167,128.9675
Buru,-3.32767,126.68413
Kepulauan Aru,-6.17059,134.46991
Seram Bagian Barat,-3.1027,128.42996
Seram Bagian Timur,-3.39851,130.39166
Maluku Barat Daya,-7.8296,126.17386
Buru Selatan,-3.52187,126.59271
Kota Ambon,-3.7,128.18333
Kota Tual,-5.64301,132.74934
Halmahera Barat,1.41709,127.55264
Halmahera Tengah,0.48056,128.25
Kepulauan Sula,-1.8646,125.69046
Halmahera Selatan,-0.3955,127.90833
Halmahera Utara,1.73194,128.00778
Halmahera Timur,1.33517,128.48627
Pulau Morotai,2.19924,128.40546
Pulau Taliabu,-1.84578,124.78992
Kota Ternate,0.89618,127.31016
Kota Tidore Kepulauan,0.60962,127.56981
Lombok Barat,-8.69583,116.11667
Lombok Tengah,-8.7,116.3
Lombok Timur,-8.53333,116.53333
Sumbawa,-8.7439,117.3324
Dompu,-8.5094,118.4816
Bima,-8.6,118.61667
Sumbawa Barat,-8.75159,116.92132
Lombok Utara,-8.35214,116.40152
Kota Mataram,-8.5833,116.1167
Kota Bima,-8.6,118.61667
Sumba Barat,-9.56667,119.45
Sumba Timur,-9.88333,120.25
Kupang,-9.91667,123.83333
Timor Tengah Selatan,-9.83333,124.4
Timor Tengah Utara,-9.33136,124.51904
Belu,-9.41258,124.95066
Alor,-8.3,124.56667
Lembata,-8.41396,123.55225
Flores Timur,-8.24224,122.96817
Sikka,-8.66667,122.36667
Ende,-8.84056,121.66389
Ngada,-8.66667,121.0
Manggarai,-8.56667,120.41667
Rote Ndao,-10.73617,123.12054
Manggarai Barat,-8.64484,119.88281
Sumba Tengah,-9.62941,119.61914
Sumba Barat Daya,-9.56216,119.08905
Nagekeo,-8.8721,121.20963
Manggarai Timur,-8.55533,120.59761
Sabu Raijua,-10.56286,121.78894
Malaka,-9.5632,124.89481
Kota Kupang,-9.91667,123.83333
Biak Numfor,-1.03333,136.0
Jayapura,-3.0,139.95
Keerom,-3.3,140.61667
Kepulauan Yapen,-1.78773,136.27716
Mamberamo Raya,-2.23561,137.78229
Sarmi,-2.41667,139.08333
Supiori,-0.73881,135.61111
Waropen,-2.286,137.01837
Kota Jayapura,-3.0,139.95
Fakfak,-2.92641,132.29608
Kaimana,-3.66093,133.77451
Teluk Wondama,-2.7,134.5
Teluk Bintuni,-1.88037,133.33105
Manokwari,-0.9,133.75
Manokwari Selatan,-1.0798,133.96729
Pegunungan Arfak,-0.93523,133.89587
Raja Ampat,-0.5,130.0
Sorong,-1.16667,131.5
Sorong Selatan,-1.50495,132.28638
Maybrat,-1.2155,132.35092
Tambrauw,-0.60515,132.48962
Kota Sorong,-1.16667,131.5
Nduga,-4.45093,138.10089
Jayawijaya,-4.08333,139.08333
Lanny Jaya,-3.91244,138.28766
Tolikara,-3.42661,137.41699
Mamberamo Tengah,-2.46064,138.45245
Yalimo,-3.86037,138.47305
Yahukimo,-4.60403,139.58405
Pegunungan Bintang,-4.52167,140.29541
Merauke,-7.66667,139.66667
Boven Digoel,-5.70519,140.36349
Mappi,-6.49971,139.34441
Asmat,-5.3795,138.46344
Mimika,-4.54357,136.56555
Dogiyai,-4.03186,135.43945
Deiyai,-3.94737,135.95032
Nabire,-3.54016,135.55511
Paniai,-3.9,136.60001
Intan Jaya,-3.41016,136.70837
